Name,Position,Chromosome,Year,First author,Title,DOI
rs7738698,151558054,6,24.12.2008 00:00,Cyril Dalmasso,Distinct Genetic Loci Control Plasma HIV-RNA and Cellular HIV-DNA Levels in HIV-1 Infection: The ANRS Genome Wide Association 01 Study,10.1371/journal.pone.0003907
rs9479055,151847967,6,07.07.2011 00:00,Kate L Holliday,The ESR1 (6q25) Locus Is Associated with Calcaneal Ultrasound Parameters and Radial Volumetric Bone Mineral Density in European Men,10.1371/journal.pone.0022037
rs9479055,151847967,6,30.09.2010 00:00,Sebastian Okser,Genetic Variants and Their Interactions in the Prediction of Increased Pre-Clinical Carotid Atherosclerosis: The Cardiovascular Risk in Young Finns Study,10.1371/journal.pgen.1001146
rs9479055,151847967,6,08.01.2010 00:00,Yan Guo,Genome-Wide Association Study Identifies ALDH7A1 as a Novel Susceptibility Gene for Osteoporosis,10.1371/journal.pgen.1000806
rs9479055,151847967,6,07.10.2010 00:00,Unnur Styrkarsdottir,European Bone Mineral Density Loci Are Also Associated with BMD in East-Asian Populations,10.1371/journal.pone.0013217
rs3757318,151914113,6,28.04.2011 00:00,Anita K Dunbier,ESR1 Is Co-Expressed with Closely Adjacent Uncharacterised Genes Spanning a Breast Cancer Susceptibility Locus at 6q25.1,10.1371/journal.pgen.1001382
rs12662670,151918856,6,22.07.2010 00:00,Simon N Stacey,Ancestry-Shift Refinement Mapping of the C6orf97-ESR1 Breast Cancer Susceptibility Locus,10.1371/journal.pgen.1001029
rs9383938,151987357,6,15.09.2011 00:00,Nick Orr,"Genetic Variants at Chromosomes 2q35, 5p12, 6q25.1, 10q26.13, and 16q12.1 Influence the Risk of Breast Cancer in Men",10.1371/journal.pgen.1002290
rs851982,152024985,6,05.08.2009 00:00,Young Kwang Chae,Genetic Polymorphisms of Estrogen Receptors α and β and the Risk of Developing Prostate Cancer,10.1371/journal.pone.0006523
rs2881766,152119119,6,30.07.2008 00:00,Christine F Skibola,Polymorphisms in the Estrogen Receptor 1 and Vitamin C and Matrix Metalloproteinase Gene Families Are Associated with Susceptibility to Lymphoma,10.1371/journal.pone.0002816
rs10484922,152132317,6,19.03.2008 00:00,Andreas Dahlgren,Association of the Estrogen Receptor 1 (ESR1) Gene with Body Height in Adult Males from Two Swedish Population Cohorts,10.1371/journal.pone.0001807
rs827421,152157122,6,20.08.2009 00:00,Brian E Roe,Financial and Psychological Risk Attitudes Associated with Two Single Nucleotide Polymorphisms in the Nicotine Receptor (CHRNA4) Gene,10.1371/journal.pone.0006704
rs2234693,152163335,6,26.12.2007 00:00,Anke Hinney,Genome Wide Association (GWA) Study for Early Onset Extreme Obesity Supports the Role of Fat Mass and Obesity Associated Gene (FTO) Variants,10.1371/journal.pone.0001361
rs9322335,152200129,6,20.05.2011 00:00,Ma'en Obeidat,A Comprehensive Evaluation of Potential Lung Function Associated Genes in the SpiroMeta General Population Sample,10.1371/journal.pone.0019382
rs9322336,152200430,6,19.06.2009 00:00,Lydia Quaye,Association between Common Germline Genetic Variation in 94 Candidate Genes or Regions and Risks of Invasive Epithelial Ovarian Cancer,10.1371/journal.pone.0005983
rs3020314,152270672,6,16.03.2007 00:00,Paul D P Pharoah,Association between Common Variation in 120 Candidate Genes and Breast Cancer Risk,10.1371/journal.pgen.0030042
rs214989,152738345,6,27.07.2011 00:00,Catherine Johnson,Genomic Regions Identified by Overlapping Clusters of Nominally-Positive SNPs from Genome-Wide Studies of Alcohol and Illegal Substance Dependence,10.1371/journal.pone.0019210
rs214976,152772264,6,09.08.2011 00:00,Paul M Armistead,Common Minor Histocompatibility Antigen Discovery Based upon Patient Clinical Outcomes and Genomic Data,10.1371/journal.pone.0023217
rs671330,153085234,6,22.09.2011 00:00,Ewa Jaworowska,"Smoking Related Cancers and Loci at Chromosomes 15q25, 5p15, 6p22.1 and 6p21.33 in the Polish Population",10.1371/journal.pone.0025057
rs1799971,154360797,6,10.03.2011 00:00,Alexandra Doehring,"Effect Sizes in Experimental Pain Produced by Gender, Genetic Variants and Sensitization Procedures",10.1371/journal.pone.0017724
rs1799971,154360797,6,26.10.2010 00:00,Helen Vossen,The Genetic Influence on the Cortical Processing of Experimental Pain and the Moderating Effect of Pain Status,10.1371/journal.pone.0013641
rs1799971,154360797,6,02.09.2011 00:00,Mary R Lee,Functional Polymorphism of the Mu-Opioid Receptor Gene (OPRM1) Influences Reinforcement Learning in Humans,10.1371/journal.pone.0024203
rs1017643,156794133,6,26.06.2009 00:00,Nancy L Heard-Costa,NRXN3 Is a Novel Locus for Waist Circumference: A Genome-Wide Association Study from the CHARGE Consortium,10.1371/journal.pgen.1000539
rs9457490,159299216,6,04.11.2010 00:00,Jun Zhang,Ancestral Informative Marker Selection and Population Structure Visualization Using Sparse Laplacian Eigenfunctions,10.1371/journal.pone.0013734
rs1738074,159465977,6,08.07.2011 00:00,Maria Pia Sperandeo,Potential Celiac Patients: A Model of Celiac Disease Pathogenesis,10.1371/journal.pone.0021281
rs1738074,159465977,6,04.08.2011 00:00,Vincent Plagnol,Genome-Wide Association Analysis of Autoantibody Positivity in Type 1 Diabetes Cases,10.1371/journal.pgen.1002216
rs1738074,159465977,6,24.02.2011 00:00,Alexandra Zhernakova,Meta-Analysis of Genome-Wide Association Studies in Celiac Disease and Rheumatoid Arthritis Identifies Fourteen Non-HLA Shared Loci,10.1371/journal.pgen.1002004
rs394581,159482521,6,12.09.2011 00:00,Lori B Chibnik,Genetic Risk Score Predicting Risk of Rheumatoid Arthritis Phenotypes and Age of Symptom Onset,10.1371/journal.pone.0024380
rs212388,159490436,6,27.01.2011 00:00,Eleonora A M Festen,"A Meta-Analysis of Genome-Wide Association Scans Identifies IL18RAP, PTPN2, TAGAP, and PUS10 As Shared Risk Loci for Crohn's Disease and Celiac Disease",10.1371/journal.pgen.1001283
rs7758822,159854623,6,08.09.2011 00:00,Ching-Ti Liu,Genetic Association for Renal Traits among Participants of African Ancestry Reveals New Loci for Renal Function,10.1371/journal.pgen.1002264
rs10945617,159952432,6,28.04.2009 00:00,Haiyan Jiang,Application of Homozygosity Haplotype Analysis to Genetic Mapping with High-Density SNP Genotype Data,10.1371/journal.pone.0005280
rs4880,160113872,6,15.08.2008 00:00,Pauline C Ng,Genetic Variation in an Individual Human Exome,10.1371/journal.pgen.1000160
rs4880,160113872,6,23.06.2011 00:00,Chuong B Do,Web-Based Genome-Wide Association Study Identifies Two Novel Loci and a Substantial Genetic Component for Parkinson's Disease,10.1371/journal.pgen.1002141
rs2273828,160207049,6,09.01.2009 00:00,David Burgner,A Genome-Wide Association Study Identifies Novel and Functionally Related Susceptibility Loci for Kawasaki Disease,10.1371/journal.pgen.1000319
rs622342,160572866,6,15.09.2011 00:00,Frederick E Dewey,Phased Whole-Genome Genetic Risk in a Family Quartet Using a Major Allele Reference Sequence,10.1371/journal.pgen.1002280
rs3127594,160638104,6,14.07.2010 00:00,Jennifer M Frost,"Telomeric NAP1L4 and OSBPL5 of the KCNQ1 Cluster, and the DECORIN Gene Are Not Imprinted in Human Trophoblast Stem Cells",10.1371/journal.pone.0011595
rs9364554,160833664,6,24.02.2011 00:00,Sara Lindstrom,Characterizing Associations and SNP-Environment Interactions for GWAS-Identified Prostate Cancer Risk Markers—Results from BPC3,10.1371/journal.pone.0017142
rs9364554,160833664,6,26.05.2011 00:00,Christopher A Haiman,Characterizing Genetic Risk at Known Prostate Cancer Susceptibility Loci in African Americans,10.1371/journal.pgen.1001387
rs2174914,160863108,6,07.01.2009 00:00,Ricardo Palacios,Allele-Specific Gene Expression Is Widespread Across the Genome and Biological Processes,10.1371/journal.pone.0004150
rs2136675,160896431,6,24.01.2011 00:00,Rahul C Deo,Single-Nucleotide Polymorphisms in LPA Explain Most of the Ancestry-Specific Variation in Lp(a) Levels in African Americans,10.1371/journal.pone.0014581
rs7449650,160957114,6,02.01.2008 00:00,David Serre,Correction of Population Stratification in Large Multi-Ethnic Association Studies,10.1371/journal.pone.0001382
rs6919346,160960359,6,28.01.2011 00:00,Logan Dumitrescu,Variation in LPA Is Associated with Lp(a) Levels in Three Populations from the Third National Health and Nutrition Examination Survey,10.1371/journal.pone.0016604
rs3798220,160961137,6,06.08.2008 00:00,Dov Shiffman,"Analysis of 17,576 Potentially Functional SNPs in Three Case–Control Studies of Myocardial Infarction",10.1371/journal.pone.0002895
rs3798220,160961137,6,22.09.2011 00:00,The IBC 50K CAD Consortium,Large-Scale Gene-Centric Analysis Identifies Novel Variants for Coronary Artery Disease,10.1371/journal.pgen.1002260
rs7770628,161018174,6,09.05.2008 00:00,David Melzer,A Genome-Wide Association Study Identifies Protein Quantitative Trait Loci (pQTLs),10.1371/journal.pgen.1000072
rs4252125,161152240,6,20.06.2008 00:00,Aimee K Zaas,Plasminogen Alleles Influence Susceptibility to Invasive Aspergillosis,10.1371/journal.pgen.1000101
